Question,Answer
How can I identify a phishing email?,"Look for poor grammar, urgent requests, and unfamiliar senders."
What is 2FA?,Two-Factor Authentication adds extra security by requiring a second form of verification.
What should I do if I click on a suspicious link?,Disconnect from the internet and run a full antivirus scan immediately.
How do I recognize a scam website?,"Check for HTTPS, verify the URL, and look for trust seals."
How do I secure my email account?,"Use a strong password, enable 2FA, and be cautious of suspicious emails."
How do I secure my email account?,"Use a strong password, enable 2FA, and be cautious of suspicious emails."
How do I secure my email account?,"Use a strong password, enable 2FA, and be cautious of suspicious emails."
What is identity theft?,Identity theft is when someone steals your personal information to commit fraud.
What is multi-factor authentication?,Multi-factor authentication uses additional verification like codes or biometrics.
What should I do if I click on a suspicious link?,Disconnect from the internet and run a full antivirus scan immediately.
Why is software update important?,Updates fix security holes and protect your system from threats.
What should I do if I click on a suspicious link?,Disconnect from the internet and run a full antivirus scan immediately.
What is a firewall?,A firewall blocks unauthorized access to your network.
What is spyware?,Spyware secretly collects information from your device without permission.
What is a firewall?,A firewall blocks unauthorized access to your network.
What is a VPN?,A VPN encrypts your internet connection and hides your IP address.
How do I back up my data securely?,Use external hard drives or cloud backups with encryption.
What is malware?,Malware is software designed to harm or exploit your computer system.
What is a VPN?,A VPN encrypts your internet connection and hides your IP address.
What is ransomware?,Ransomware locks your files and demands payment to unlock them.
How do I protect my Wi-Fi?,"Use a strong, unique password and enable WPA3 encryption on your router."
What is ransomware?,Ransomware locks your files and demands payment to unlock them.
How do I secure my email account?,"Use a strong password, enable 2FA, and be cautious of suspicious emails."
What is 2FA?,Two-Factor Authentication adds extra security by requiring a second form of verification.
How do I create a strong password?,"Use at least 12 characters with a mix of letters, numbers, and symbols."
What is phishing?,Phishing is when attackers trick you into giving personal information by pretending to be someone trustworthy.
What is malware?,Malware is software designed to harm or exploit your computer system.
How can I protect my online banking?,"Use strong passwords, monitor account activity, and enable alerts."
How do I protect my Wi-Fi?,"Use a strong, unique password and enable WPA3 encryption on your router."
How do I avoid fake job scams?,"Verify employers, avoid upfront payments, and research companies before applying."
What is encryption?,Encryption turns data into unreadable code to protect information.
Why is software update important?,Updates fix security holes and protect your system from threats.
What is identity theft?,Identity theft is when someone steals your personal information to commit fraud.
How can I identify a phishing email?,"Look for poor grammar, urgent requests, and unfamiliar senders."
What is a firewall?,A firewall blocks unauthorized access to your network.
What should I do if I click on a suspicious link?,Disconnect from the internet and run a full antivirus scan immediately.
What is phishing?,Phishing is when attackers trick you into giving personal information by pretending to be someone trustworthy.
Why is software update important?,Updates fix security holes and protect your system from threats.
What is spyware?,Spyware secretly collects information from your device without permission.
How do I protect my Wi-Fi?,"Use a strong, unique password and enable WPA3 encryption on your router."
How do I avoid fake job scams?,"Verify employers, avoid upfront payments, and research companies before applying."
What is a firewall?,A firewall blocks unauthorized access to your network.
How do I back up my data securely?,Use external hard drives or cloud backups with encryption.
How can I identify a phishing email?,"Look for poor grammar, urgent requests, and unfamiliar senders."
How can I securely share files online?,Use encrypted cloud services or password-protected file sharing.
What is encryption?,Encryption turns data into unreadable code to protect information.
How can I identify a phishing email?,"Look for poor grammar, urgent requests, and unfamiliar senders."
